"DATABASE_NAME","SCHEMA_NAME","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHAR_MAX_LENGTH","MIN_VALUE","MAX_VALUE","DISTINCT_COUNT","NULL_%","Sample_Values","Value_Composition"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ID_VND","TEXT(6)","6",,,"3930",0,"10263, 10275, 10687, 631104, 836851",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ID_VND_ORDFM","TEXT(6)","6",,,"4056",0,"10263, 10275, 631104, 836851, 841",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","TYPE_REC","NUMBER(2,0)",,"20","20","1",0,"20","20 (4209, 100.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","SEQ_REC","NUMBER(4,0)",,"0","0","1",0,"0","0 (4209, 100.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","TYPE_REC_1","NUMBER(2,0)",,"20","20","1",0,"20","20 (4209, 100.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","NAME_VND_SORT","TEXT(15)","15",,,"3828",0.05,"BIMAC CORPORPOR, LEDFORD GAGE LA, MW FENCE CO LLC, PEARL TRIM & TE, TECH DEPOT",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","COUNTRY","TEXT(30)","30",,,"43",14.04,"KOREA, MEXICO, TAIWAN, THE NETHERLANDS, UK",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","PROV","TEXT(30)","30",,,"23",98.43,"LANCASHIRE, NORFOLK, Norfolk, ONTARIO, VICTORIA",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ID_ST","TEXT(2)","2",,,"52",9.93,"FL, NJ, TX, VT, WV",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CITY","TEXT(15)","15",,,"1555",8.01,"ANDALUSIA, CHATSWOOD, Cuddy, MADISON HEIGHTS, RALEIGH",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ZIP","TEXT(10)","10",,,"2469",9.29,"16023, 29730, 30309-3915, 64870, 84134-0180",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ID_USER_ADD","TEXT(3)","3",,,"57",0,"ARB, CNV, JP2, SA3, TI2",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","DATE_ADD","TIMESTAMP_NTZ(9)",,"1993-10-26 00:00:00.000","2026-04-06 00:00:00.000","2140",0,"2019-06-11 00:00:00.000, 2020-03-16 00:00:00.000, 2023-01-13 00:00:00.000, 2025-07-10 00:00:00.000, 2025-09-24 00:00:00.000",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ID_USER_CHG","TEXT(3)","3",,,"48",31.12,"ACW, AL1, BMC, NT1, TI2",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","DATE_CHG","TIMESTAMP_NTZ(9)",,"2010-10-01 00:00:00.000","2026-04-07 00:00:00.000","1281",31.12,"2019-06-11 00:00:00.000, 2020-03-16 00:00:00.000, 2025-02-20 00:00:00.000, 2025-07-10 00:00:00.000, 2025-09-24 00:00:00.000",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_USER_1_AP","TEXT(2)","2",,,"0",100,"",""
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_USER_2_AP","TEXT(4)","4",,,"0",100,"",""
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_USER_3_AP","TEXT(10)","10",,,"13",99.64,"012093, 06/04/91, 080891, 092493, 110292",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","NAME_VND","TEXT(30)","30",,,"3949",0.1,"DISCOUNT DRUG MART, MW FENCE CO LLC, TECH DEPOT, TECHFLEX BRAIDED SLEEVING PROD, THE TARGET HUMAN RESOURCE CO",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ADDR_VND_1","TEXT(30)","30",,,"3598",7.46,"101 EAST WALNUT STREET, 13763 LAKEVIEW COURT, 3107 NORTH PARK, 69 MILK STREET, SUITE 304, SUITE 1300 SERVICES INC",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ADDR_VND_2","TEXT(30)","30",,,"3229",11.86,"CHICAGO, IL 60680-1042, Houston  TX 77018, NORCROSS GA  30093, RICHMOND  VA 23218-0800, SUITE #300",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ADDR_VND_3","TEXT(30)","30",,,"1499",60.63,"FOREST HILLS  NY 11375, FORSYTH  GA 31029, LAKEWOOD RANCH  FL 34202, MONT-ROYAL     H4T 1M1, QUEBEC CANADA",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","ADDR_VND_4","TEXT(30)","30",,,"546",86.17,"ATTN : MARY JANE WILLIAMS, ELMWOOD PARK NJ  07407, FAX: 216-267-8318, P: 800-428-1162, fax:  610-898-8393",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","PHONE","TEXT(12)","12",,,"2270",41.39,"309.677.4632, 800-348-4512, 800.243.6624, 847-671-1550, 913.708.3629",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","FAX","TEXT(12)","12",,,"1022",73.34,"216-901-1775, 217-442-9370, 281.374.4181, 303.576.0729, 603.669.9271",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","REF","TEXT(10)","10",,,"24",99.43,"19178-0715, 4019547588, CAROL RAHN, ILLINOIS, LAW",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","NAME_CONTACT_VND","TEXT(25)","25",,,"631",83.35,"JOHN LEE, MELISSA MILLER, SCOTT SAIN, Stephen J Gillis, Travis Richardson",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","TYPE_VND","TEXT(1)","1",,,"0",100,"",""
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_FOB_PO","TEXT(1)","1",,,"6",8.53,"0, 1, 3, 4, 6",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_SHIP_VIA_PO","TEXT(1)","1",,,"15",7.44,"1, 6, A, P, U",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_TRMS_PO","TEXT(1)","1",,,"22",7.63,"1, A, E, I, L",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_USER","TEXT(2)","2",,,"2",99.95,"1, C","1 (1, 50.00%) | C (1, 50.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","FLAG_PRNT_PRICE","NUMBER(1,0)",,"0","1","2",0,"0, 1","0 (43, 1.02%) | 1 (4166, 98.98%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","FLAG_CONFIRM","NUMBER(1,0)",,"0","1","2",0,"0, 1","0 (40, 0.95%) | 1 (4169, 99.05%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","FLAG_ACKN","NUMBER(1,0)",,"0","1","2",0,"0, 1","0 (40, 0.95%) | 1 (4169, 99.05%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","FLAG_ACTV_PO","NUMBER(1,0)",,"0","1","2",0,"0, 1","0 (40, 0.95%) | 1 (4169, 99.05%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_COMM_1","TEXT(4)","4",,,"1",99.93,"1","1 (3, 100.00%)"
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_COMM_2","TEXT(4)","4",,,"0",100,"",""
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_COMM_3","TEXT(4)","4",,,"0",100,"",""
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_COMM_4","TEXT(4)","4",,,"0",100,"",""
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","CODE_COMM_5","TEXT(4)","4",,,"0",100,"",""
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","QTY_PO_YTD","NUMBER(5,0)",,"0","281","68",0,"19, 23, 59, 72, 73",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","QTY_PO_YTD_LAST","NUMBER(5,0)",,"0","301","51",0,"100, 19, 40, 59, 72",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","QTY_PO_FY","NUMBER(5,0)",,"0","987","129",0,"103, 130, 435, 59, 73",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","QTY_PO_FY_LAST","NUMBER(5,0)",,"0","406","50",0,"19, 24, 34, 37, 72",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","AMT_BILL_YTD","NUMBER(10,2)",,"0.00","7296393.69","532",0,"104825.98, 25599.73, 6240.50, 6633.20, 888199.00",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","AMT_BILL_YTD_FC","TEXT(14)","14",,,"532",0,"001:0000012000, 001:0000029500, 001:0000255000, 001:0001413845, 001:0005801580",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","AMT_BILL_YTD_LAST","NUMBER(10,2)",,"0.00","10381116.96","435",0,"13091.77, 18081.42, 51357.30, 6300.86, 9350.00",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","AMT_BILL_YTD_LAST_FC","TEXT(14)","14",,,"435",0,"001:0000132000, 001:0001237900, 001:0002510370, 001:0004190230, 001:0068861426",
"BRONZE_DATA","TCM_BRONZE","VENMAS_ORDFM_Bronze","AMT_BILL_FY","NUMBER(10,2)",,"0.00","30928245.33","899",0,"13440605.80, 25599.73, 3166.46, 530896.18, 971.52",
